file,timestamp [ns],recording offset [secs],video offset [secs]
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164380792487,3.177792487,1.098392
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164430741487,3.227741487,1.148341
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164460837487,3.257837487,1.178437
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164491488487,3.288488487,1.209088
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164517904487,3.314904487,1.235504
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164552015487,3.349015487,1.269615
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164579779487,3.376779487,1.297379
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164617471487,3.414471487,1.335071
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164649952487,3.446952487,1.367552
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164685600487,3.482600487,1.4032
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164729361487,3.526361487,1.446961
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164766353487,3.563353487,1.483953
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164789313487,3.586313487,1.506913
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164829696487,3.626696487,1.547296
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164864182487,3.661182487,1.581782
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164893394487,3.690394487,1.610994
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164928566487,3.725566487,1.646166
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164964515487,3.761515487,1.682115
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164990642487,3.787642487,1.708242
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165026235487,3.823235487,1.743835
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165056907487,3.853907487,1.774507
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165096318487,3.893318487,1.813918
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165129049487,3.926049487,1.846649
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165160942487,3.957942487,1.878542
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165190274487,3.987274487,1.907874
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165233323487,4.030323487,1.950923
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165253138487,4.050138487,1.970738
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165284463487,4.081463487,2.002063
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165316630487,4.113630487,2.03423
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165349811487,4.146811487,2.067411
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165386946487,4.183946487,2.104546
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165427822487,4.224822487,2.145422
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165460945487,4.257945487,2.178545
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165496931487,4.293931487,2.214531
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165528082487,4.325082487,2.245682
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165558048487,4.355048487,2.275648
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165587288487,4.384288487,2.304888
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165617479487,4.414479487,2.335079
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165663472487,4.460472487,2.381072
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165692146487,4.489146487,2.409746
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165729140487,4.526140487,2.44674
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165759543487,4.556543487,2.477143
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165790545487,4.587545487,2.508145
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165826205487,4.623205487,2.543805
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165858189487,4.655189487,2.575789
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165896005487,4.693005487,2.613605
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165928443487,4.725443487,2.646043
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165964592487,4.761592487,2.682192
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509165991266487,4.788266487,2.708866
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166024832487,4.821832487,2.742432
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166061175487,4.858175487,2.778775
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166093629487,4.890629487,2.811229
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166127962487,4.924962487,2.845562
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166157727487,4.954727487,2.875327
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166192628487,4.989628487,2.910228
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166228496487,5.025496487,2.946096
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166259586487,5.056586487,2.977186
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166289799487,5.086799487,3.007399
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166325719487,5.122719487,3.043319
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166360360487,5.157360487,3.07796
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166393001487,5.190001487,3.110601
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166419301487,5.216301487,3.136901
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166455069487,5.252069487,3.172669
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166487687487,5.284687487,3.205287
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166524809487,5.321809487,3.242409
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166561758487,5.358758487,3.279358
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166588712487,5.385712487,3.306312
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166627498487,5.424498487,3.345098
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166664585487,5.461585487,3.382185
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166690252487,5.487252487,3.407852
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166729413487,5.526413487,3.447013
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166757436487,5.554436487,3.475036
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166797242487,5.594242487,3.514842
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166822888487,5.619888487,3.540488
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166853046487,5.650046487,3.570646
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166898753487,5.695753487,3.616353
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166915158487,5.712158487,3.632758
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509166960961487,5.757961487,3.678561
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167001010487,5.798010487,3.71861
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167016228487,5.813228487,3.733828
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167047562487,5.844562487,3.765162
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167093373487,5.890373487,3.810973
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167128559487,5.925559487,3.846159
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167146538487,5.943538487,3.864138
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167188990487,5.985990487,3.90659
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167217214487,6.014214487,3.934814
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167249027487,6.046027487,3.966627
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167293246487,6.090246487,4.010846
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167314473487,6.111473487,4.032073
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167351967487,6.148967487,4.069567
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167386050487,6.183050487,4.10365
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167412675487,6.209675487,4.130275
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167446690487,6.243690487,4.16429
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167478877487,6.275877487,4.196477
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167514121487,6.311121487,4.231721
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167548772487,6.345772487,4.266372
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167580277487,6.377277487,4.297877
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167614308487,6.411308487,4.331908
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167665860487,6.462860487,4.38346
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167709744487,6.506744487,4.427344
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167735449487,6.532449487,4.453049
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167768803487,6.565803487,4.486403
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167790183487,6.587183487,4.507783
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167819525487,6.616525487,4.537125
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167854404487,6.651404487,4.572004
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167889558487,6.686558487,4.607158
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167913344487,6.710344487,4.630944
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167951997487,6.748997487,4.669597
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509167982145487,6.779145487,4.699745
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168012567487,6.809567487,4.730167
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168050268487,6.847268487,4.767868
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168078576487,6.875576487,4.796176
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168112933487,6.909933487,4.830533
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168147024487,6.944024487,4.864624
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168178839487,6.975839487,4.896439
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168212881487,7.009881487,4.930481
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168248016487,7.045016487,4.965616
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168279810487,7.076810487,4.99741
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168315327487,7.112327487,5.032927
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168351247487,7.148247487,5.068847
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168379587487,7.176587487,5.097187
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168411393487,7.208393487,5.128993
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168452408487,7.249408487,5.170008
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168479172487,7.276172487,5.196772
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168514074487,7.311074487,5.231674
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168547301487,7.344301487,5.264901
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168579332487,7.376332487,5.296932
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168615229487,7.412229487,5.332829
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168648788487,7.445788487,5.366388
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168678923487,7.475923487,5.396523
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168713944487,7.510944487,5.431544
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168748487487,7.545487487,5.466087
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168790724487,7.587724487,5.508324
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168821707487,7.618707487,5.539307
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168859676487,7.656676487,5.577276
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168897034487,7.694034487,5.614634
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168920168487,7.717168487,5.637768
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168949260487,7.746260487,5.66686
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509168979634487,7.776634487,5.697234
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169016799487,7.813799487,5.734399
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169047835487,7.844835487,5.765435
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169082118487,7.879118487,5.799718
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169113665487,7.910665487,5.831265
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169150690487,7.947690487,5.86829
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169185194487,7.982194487,5.902794
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169214602487,8.011602487,5.932202
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169249640487,8.046640487,5.96724
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169281470487,8.078470487,5.99907
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169311579487,8.108579487,6.029179
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169349343487,8.146343487,6.066943
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169382898487,8.179898487,6.100498
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169415464487,8.212464487,6.133064
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169449871487,8.246871487,6.167471
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169484872487,8.281872487,6.202472
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169515354487,8.312354487,6.232954
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169549838487,8.346838487,6.267438
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169587355487,8.384355487,6.304955
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169618006487,8.415006487,6.335606
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169657296487,8.454296487,6.374896
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169686181487,8.483181487,6.403781
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169725643487,8.522643487,6.443243
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169761993487,8.558993487,6.479593
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169791610487,8.588610487,6.50921
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169816998487,8.613998487,6.534598
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169850097487,8.647097487,6.567697
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169883911487,8.680911487,6.601511
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169916394487,8.713394487,6.633994
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169951324487,8.748324487,6.668924
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509169980517487,8.777517487,6.698117
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170015868487,8.812868487,6.733468
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170056373487,8.853373487,6.773973
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170082260487,8.879260487,6.79986
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170119694487,8.916694487,6.837294
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170147582487,8.944582487,6.865182
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170193240487,8.990240487,6.91084
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170226285487,9.023285487,6.943885
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170255970487,9.052970487,6.97357
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170287286487,9.084286487,7.004886
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170320955487,9.117955487,7.038555
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170359372487,9.156372487,7.076972
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170402347487,9.199347487,7.119947
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170428457487,9.225457487,7.146057
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170445484487,9.242484487,7.163084
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170482327487,9.279327487,7.199927
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170521087487,9.318087487,7.238687
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170551925487,9.348925487,7.269525
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170579272487,9.376272487,7.296872
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170614726487,9.411726487,7.332326
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170649364487,9.446364487,7.366964
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170685955487,9.482955487,7.403555
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170722312487,9.519312487,7.439912
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170753831487,9.550831487,7.471431
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170795184487,9.592184487,7.512784
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170822526487,9.619526487,7.540126
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170848258487,9.645258487,7.565858
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170887806487,9.684806487,7.605406
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170926082487,9.723082487,7.643682
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170951232487,9.748232487,7.668832
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509170985187487,9.782187487,7.702787
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171019501487,9.816501487,7.737101
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171053084487,9.850084487,7.770684
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171090936487,9.887936487,7.808536
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171127378487,9.924378487,7.844978
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171149917487,9.946917487,7.867517
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171180055487,9.977055487,7.897655
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171214231487,10.011231487,7.931831
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171257355487,10.054355487,7.974955
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171282594487,10.079594487,8.000194
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509171312269487,10.109269487,8.029869
