fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
170,1681852272784611413,1681852272900585413,115,591.4173113636363,493.57476136363636,4.075088768181818,2.352538395454545
171,1681852273148597413,1681852273248575413,99,746.1719257894737,465.9891331578947,15.80407910526316,4.391518352631579
172,1681852273268578413,1681852273676586413,408,681.014279125,443.49278212500013,10.890110250000001,6.1119125075
173,1681852273704587413,1681852273944585413,239,650.4599995833333,400.4464091666667,8.616312691666668,9.362726979166666
174,1681852274004568413,1681852274644621413,640,714.680117265625,459.70875921874995,13.424939187500001,4.87502065234375
175,1681852274724650413,1681852275156590413,431,711.1403847058824,693.8818095294117,13.326213694117646,-12.635997776470592
176,1681852275352623413,1681852282492599413,7139,700.1733437914024,435.5822376603242,12.355866756166314,6.691442496825229
177,1681852282544593413,1681852283816585413,1271,684.267058247012,497.6662322709163,11.095798639442233,2.0359936137450196
178,1681852283892576413,1681852284608578413,716,756.9000302777778,469.0230409027777,16.614138041666667,4.159952715277778
179,1681852284868598413,1681852285316727413,448,696.8557529545454,459.48526886363635,12.074952704545455,4.898504681818182
180,1681852285364583413,1681852285544580413,179,672.0908722222223,364.6060972222223,10.331880611111112,12.047018236111112
181,1681852285584581413,1681852286768590413,1184,645.9218795338982,409.00544105932204,8.264700531355933,8.723270479661018
182,1681852286848624413,1681852287120610413,271,618.3741558181817,488.5775369090909,6.1152435072727265,2.727711141818182
183,1681852287916598413,1681852288028570413,111,687.4453718181817,516.3688168181819,11.330569181818179,0.6325378974545454
184,1681852288132589413,1681852288348601413,216,685.7728443181818,573.3851720454545,11.215068147727273,-3.645313518181818
185,1681852288452596413,1681852288732589413,279,695.7866707142857,576.1109307142857,11.975839339285715,-3.8448118464285708
186,1681852288924597413,1681852289016632413,92,730.0454029411765,674.9672711764706,14.726764588235296,-11.200316764705882
187,1681852289056733413,1681852289148593413,91,675.6464689473684,668.0845631578949,10.553497657894738,-10.748542421052631
188,1681852289176616413,1681852289264599413,87,697.0559905555555,703.8641299999999,12.268166,-13.39935738888889
189,1681852289376612413,1681852289548640413,172,590.2417822222222,548.1124766666667,3.9845433833333335,-1.7632847653333332
190,1681852289684574413,1681852289872679413,188,639.7823802777779,591.245915,7.7441862777777795,-5.003728030555556
191,1681852289924590413,1681852290064566413,139,702.0456103703705,600.9821888888889,12.469113981481483,-5.704220340740741
192,1681852290104572413,1681852290640581413,536,677.9366676635514,636.9972077570094,10.684456420560746,-8.416226639252336
193,1681852290792583413,1681852291352575413,559,597.1864822321429,401.85814008928577,4.550993508035714,9.279893952678572
194,1681852291384581413,1681852291832587413,448,599.5375060674156,465.40285505617976,4.697395729213483,4.478818021348315
195,1681852291880583413,1681852292352605413,472,625.8660770833334,577.1617236458333,6.6844245239583335,-3.9479238208333336
196,1681852292412601413,1681852292568585413,155,616.1849587096773,414.94778161290316,5.989460209677419,8.284733729032258
197,1681852292604589413,1681852293316632413,712,631.6901729577465,389.8098930985915,7.19680751830986,10.175556024647888
198,1681852293368665413,1681852295448698413,2080,623.2732284541062,490.19058229468595,6.4856290765700475,2.605391606521739
199,1681852295532578413,1681852295712572413,179,699.4807675,462.8993380555555,12.269985138888888,4.641616252777778
200,1681852295860588413,1681852297556623413,1696,735.8016255325444,356.2698056804734,15.261273109467453,12.601911732248519
201,1681852297676587413,1681852298416627413,740,618.5393633783784,464.0087896621622,6.136849146621621,4.581227676351352
202,1681852298460586413,1681852299900675413,1440,615.0723579649122,410.27209610526324,5.908026649824561,8.63840458140351
203,1681852299960588413,1681852300836597413,876,622.9590812643678,481.6654954022989,6.465029336206896,3.2488829399999997
204,1681852300896581413,1681852302500604413,1604,609.1525124687499,374.72566303125,5.488765044375,11.325608428125
205,1681852302552575413,1681852304208617413,1656,615.215890634441,450.7904015407855,5.892245844410876,5.579148433232628
206,1681852304256615413,1681852305064576413,807,609.7834529746835,360.8833366455696,5.5515576303797465,12.371634357594939
207,1681852305144598413,1681852305564602413,420,621.5436158227848,517.6806431645568,6.349613088607595,0.5328826863607595
208,1681852305600605413,1681852309512560413,3911,617.7283098834197,429.269929611399,6.097598407642487,7.202512021373056
209,1681852309692579413,1681852311048579413,1356,613.0283018215614,425.69124427509297,5.740839762825279,7.4747200910780665
210,1681852311108580413,1681852311380592413,272,643.046113888889,548.8880585185185,7.975683309259257,-1.816160730555556
211,1681852311420576413,1681852314208578413,2788,649.7579239999999,595.5976901801802,8.50364758846847,-5.327436385765766
212,1681852314268629413,1681852314696705413,428,686.7108312790696,477.3743887209304,11.291418412790696,3.560023849999999
213,1681852314732617413,1681852316532650413,1800,751.0387547206705,458.58615966480437,16.184384282122902,4.941081701675977
214,1681852316816571413,1681852317596643413,780,714.0308084713377,429.78941019108277,13.415673910828023,7.117448343949045
215,1681852317640587413,1681852318968648413,1328,720.3111510902256,446.3433128195489,13.871594890977443,5.87295647518797
216,1681852319072591413,1681852319132596413,60,934.8587527272728,597.4625681818183,30.152004272727275,-5.2114645363636365
