"#file:///C:/Users/htalia/Box/P-CAT Research/blinks/11002_C/PI left v1 ps1.mp4 -- offset: 0, duration: 00:23:59.968 / 1439.968 / 1439968, ms per sample: 5.0083",,,,,,,,,,,,
Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,eye_blinks,timestamps,pupil blinks,differences
17:38.9,1058.9,1058900,17:38.9,1058.91,1058910,00:00.0,0.01,10,,cprep.start,,
17:56.2,1076.181,1076181,17:56.5,1076.509,1076509,00:00.3,0.328,328,,,233,p
18:02.9,1082.865,1082865,18:03.2,1083.221,1083221,00:00.4,0.356,356,,,234,p
18:13.5,1093.485,1093485,18:13.7,1093.749,1093749,00:00.3,0.264,264,,,235,p
18:16.0,1096.037,1096037,18:16.3,1096.293,1096293,00:00.3,0.256,256,,,236,p
18:27.3,1107.253,1107253,18:27.5,1107.489,1107489,00:00.2,0.236,236,,,237,p
18:38.8,1118.817,1118817,18:39.1,1119.113,1119113,00:00.3,0.296,296,,,238,p
18:42.1,1122.093,1122093,18:42.3,1122.297,1122297,00:00.2,0.204,204,,,239,p
18:44.5,1124.549,1124549,18:44.8,1124.785,1124785,00:00.2,0.236,236,,,240,p
18:48.3,1128.329,1128329,18:48.6,1128.637,1128637,00:00.3,0.308,308,,,241,p
18:52.3,1132.257,1132257,18:52.5,1132.509,1132509,00:00.3,0.252,252,,,242,p
19:06.2,1146.16,1146160,19:06.8,1146.77,1146770,00:00.6,0.61,610,1,,,
19:07.2,1147.189,1147189,19:07.4,1147.405,1147405,00:00.2,0.216,216,,,243,
19:09.4,1149.4,1149400,19:09.6,1149.57,1149570,00:00.2,0.17,170,1,,,
19:10.3,1150.27,1150270,19:10.4,1150.389,1150389,00:00.1,0.119,119,1,,,
19:10.4,1150.389,1150389,19:10.5,1150.46,1150460,00:00.1,0.071,71,1,,244,
19:10.5,1150.46,1150460,19:10.6,1150.641,1150641,00:00.2,0.181,181,,,244,
19:10.7,1150.7,1150700,19:10.8,1150.813,1150813,00:00.1,0.113,113,1,,,
19:10.8,1150.813,1150813,19:11.0,1151.013,1151013,00:00.2,0.2,200,1,,245,
19:11.0,1151.013,1151013,19:11.1,1151.109,1151109,00:00.1,0.096,96,1,,,
19:11.1,1151.109,1151109,19:11.2,1151.18,1151180,00:00.1,0.071,71,1,,246,
19:11.2,1151.18,1151180,19:11.4,1151.421,1151421,00:00.2,0.241,241,,,246,
19:13.2,1153.2,1153200,19:13.3,1153.253,1153253,00:00.1,0.053,53,1,,,
19:13.3,1153.253,1153253,19:13.4,1153.39,1153390,00:00.1,0.137,137,1,,247,
19:13.4,1153.39,1153390,19:13.6,1153.577,1153577,00:00.2,0.187,187,,,247,
19:14.8,1154.781,1154781,19:14.9,1154.92,1154920,00:00.1,0.139,139,,,248,p
19:14.9,1154.92,1154920,19:15.0,1155.009,1155009,00:00.1,0.089,89,1,,248,p
19:15.0,1155.009,1155009,19:15.1,1155.11,1155110,00:00.1,0.101,101,1,,249,
19:15.1,1155.11,1155110,19:15.3,1155.317,1155317,00:00.2,0.207,207,,,249,
19:16.1,1156.07,1156070,19:16.2,1156.165,1156165,00:00.1,0.095,95,1,,,
19:16.2,1156.165,1156165,19:16.3,1156.29,1156290,00:00.1,0.125,125,1,,250,
19:16.3,1156.29,1156290,19:16.5,1156.461,1156461,00:00.2,0.171,171,,,250,
19:16.6,1156.601,1156601,19:16.9,1156.893,1156893,00:00.3,0.292,292,,,251,p
19:17.1,1157.14,1157140,19:17.3,1157.269,1157269,00:00.1,0.129,129,1,,,
19:17.3,1157.269,1157269,19:17.3,1157.32,1157320,00:00.1,0.051,51,1,,252,
19:17.3,1157.32,1157320,19:17.6,1157.6,1157600,00:00.3,0.28,280,,,252,
19:17.6,1157.6,1157600,19:17.6,1157.629,1157629,00:00.0,0.029,29,1,,252,
19:17.6,1157.629,1157629,19:17.8,1157.777,1157777,00:00.1,0.148,148,1,,,
19:17.8,1157.777,1157777,19:17.8,1157.83,1157830,00:00.1,0.053,53,1,,253,
19:17.8,1157.83,1157830,19:18.1,1158.065,1158065,00:00.2,0.235,235,,,253,
19:18.2,1158.15,1158150,19:18.2,1158.193,1158193,00:00.0,0.043,43,1,,,
19:18.2,1158.193,1158193,19:18.6,1158.605,1158605,00:00.4,0.412,412,1,,254,
19:18.6,1158.605,1158605,19:18.7,1158.71,1158710,00:00.1,0.105,105,1,,,
19:21.3,1161.27,1161270,19:21.5,1161.545,1161545,00:00.3,0.275,275,1,,,
19:21.5,1161.545,1161545,19:21.7,1161.7,1161700,00:00.2,0.155,155,1,,255,
19:21.7,1161.7,1161700,19:21.9,1161.865,1161865,00:00.2,0.165,165,,,255,
19:34.2,1174.245,1174245,19:34.4,1174.449,1174449,00:00.2,0.204,204,,,256,p
19:35.2,1175.24,1175240,19:35.3,1175.25,1175250,00:00.0,0.01,10,,cprep.end,,
19:39.8,1179.78,1179780,19:39.8,1179.79,1179790,00:00.0,0.01,10,,cspeech.start,,
19:56.4,1196.37,1196370,19:56.4,1196.373,1196373,00:00.0,0.003,3,1,,,
19:56.4,1196.373,1196373,19:56.5,1196.52,1196520,00:00.1,0.147,147,1,,257,
19:56.5,1196.52,1196520,19:56.8,1196.845,1196845,00:00.3,0.325,325,,,257,
20:00.0,1200.04,1200040,20:00.1,1200.085,1200085,00:00.0,0.045,45,1,,,
20:00.1,1200.085,1200085,20:00.3,1200.27,1200270,00:00.2,0.185,185,1,,258,
20:00.3,1200.27,1200270,20:00.6,1200.553,1200553,00:00.3,0.283,283,,,258,
20:22.0,1221.997,1221997,20:22.3,1222.273,1222273,00:00.3,0.276,276,,,259,p
20:28.8,1228.8,1228800,20:28.9,1228.865,1228865,00:00.1,0.065,65,1,,,
20:28.9,1228.865,1228865,20:29.0,1229.01,1229010,00:00.1,0.145,145,1,,260,
20:29.0,1229.01,1229010,20:29.3,1229.337,1229337,00:00.3,0.327,327,,,260,
20:31.4,1231.405,1231405,20:31.7,1231.669,1231669,00:00.3,0.264,264,,,261,p
20:34.4,1234.377,1234377,20:34.7,1234.709,1234709,00:00.3,0.332,332,,,262,p
20:37.6,1237.569,1237569,20:37.8,1237.837,1237837,00:00.3,0.268,268,,,263,p
20:44.3,1244.281,1244281,20:44.6,1244.633,1244633,00:00.4,0.352,352,,,264,p
20:46.1,1246.089,1246089,20:46.3,1246.349,1246349,00:00.3,0.26,260,,,265,p
20:55.6,1255.565,1255565,20:55.9,1255.901,1255901,00:00.3,0.336,336,,,266,p
21:10.1,1270.069,1270069,21:10.4,1270.433,1270433,00:00.4,0.364,364,,,267,p
21:11.4,1271.441,1271441,21:11.8,1271.841,1271841,00:00.4,0.4,400,,,268,p
21:16.1,1276.085,1276085,21:16.4,1276.353,1276353,00:00.3,0.268,268,,,269,p
21:18.8,1278.833,1278833,21:19.2,1279.153,1279153,00:00.3,0.32,320,,,270,p
21:20.5,1280.545,1280545,21:20.8,1280.809,1280809,00:00.3,0.264,264,,,271,p
21:23.3,1283.329,1283329,21:23.6,1283.617,1283617,00:00.3,0.288,288,,,272,p
21:23.7,1283.722,1283722,21:23.8,1283.785,1283785,00:00.1,0.063,63,1,,,
21:23.8,1283.785,1283785,21:24.0,1284,1284000,00:00.2,0.215,215,1,,273,
21:24.0,1284,1284000,21:24.2,1284.185,1284185,00:00.2,0.185,185,,,273,
21:28.7,1288.721,1288721,21:29.0,1289.001,1289001,00:00.3,0.28,280,,,274,p
21:34.1,1294.061,1294061,21:34.4,1294.417,1294417,00:00.4,0.356,356,,,275,p
21:35.2,1295.169,1295169,21:35.3,1295.345,1295345,00:00.2,0.176,176,,,276,p
21:35.5,1295.53,1295530,21:35.6,1295.613,1295613,00:00.1,0.083,83,1,,,
21:35.6,1295.613,1295613,21:35.7,1295.68,1295680,00:00.1,0.067,67,1,,277,
21:35.7,1295.68,1295680,21:36.0,1296.013,1296013,00:00.3,0.333,333,,,277,
21:36.6,1296.6,1296600,21:36.6,1296.61,1296610,00:00.0,0.01,10,,cspeech.end,,
