section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
ed4751c5-6fdc-4a5e-a466-299db11273f2,2c21540c-7e92-4241-9921-f5a57f8d5801,12028_P_T1_tsst,bd901aa7-85a6-4e81-8759-9ba55fc4702f,12028_P,1685222958110000000,1685224201929000000,recording.begin,recording.end
c76d63a8-94fd-4fd3-b1f4-9ff5b5c938dd,2cab323a-219e-467a-9041-66d0f84e7a55,12068_P_T1_tsst,b209644d-68de-411d-9b75-016b0508702e,12068_P,1702228315991000000,1702229449125000000,recording.begin,recording.end
3d0681ba-2b1c-4d80-b52b-50f4e915c2a1,34a6e8c3-ae43-4442-aeaf-4557038b769b,12083_P_T1_tsst,3940fbed-660b-446a-a445-18606c210799,12083_P,1719679666369000000,1719680749721000000,recording.begin,recording.end
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,12023_P_T1_tsst,2d68fd7a-8b29-438a-a4fd-2b5c860852e4,12023_P,1689874718668000000,1689876313067000000,recording.begin,recording.end
21238daf-494d-4c21-8276-c4e3d99ac6c4,3bc71e70-87a4-491c-810c-3254a2962f8c,12037_P_T1_tsst,b1a7d921-577a-4158-9ab5-6e6158f1eb63,12037_P,1687290540708000000,1687291845529000000,recording.begin,recording.end
60044085-b602-453e-9df8-bdd17d26357c,4125de46-5144-413a-a9bd-5f9833709363,12059_P_T1_tsst,a780861c-9759-43e3-b163-fce831a4efb1,12059_P,1701274414470000000,1701275828408000000,recording.begin,recording.end
4c5b8f15-38bc-4535-a962-28bda08ecc2d,42bbe293-1463-49db-a0e2-0205a1bc888f,12018_P_T1_tsst,ac888fa2-19b1-44d4-9bed-8ab95e63e7da,12018_P,1690920119916000000,1690921657553000000,recording.begin,recording.end
2c574044-7ef4-4b65-8530-f76a5584589a,452103a6-b558-45ce-a88e-7d05b220f05a,12043_P_T1_tsst,e77c5830-f3e9-44b0-9351-2a075d7bde40,12043_P,1690134853908000000,1690136134936000000,recording.begin,recording.end
50a9c03e-37ca-4d44-af77-fe922b1b9554,4acfe4b3-2d18-4d25-aaee-a46764771006,12048_P_T1_tsst,1416d87a-10e2-4dee-80e1-c5620d6651e8,12048_P,1705771384196000000,1705772467457000000,recording.begin,recording.end
de0208a9-86b4-4ef3-a4e3-59a576e1d496,4e723dc1-3288-4681-ba0f-99edc1c781d9,12066_P_T1_tsst,4f739fca-539b-4c7c-afc1-e2bad63cc913,12066_P,1701802958138000000,1701804165564000000,recording.begin,recording.end
f9c5090b-4266-49e9-8d7c-1b16994e0266,4fdbdd33-1e94-4d8f-8534-48910a771fff,12079_P_T1_tsst,9aad795c-794c-42e0-9c78-67093bcb1824,12079_P,1720727938508000000,1720728936967000000,recording.begin,recording.end
fcb8983e-9993-4d61-8c1f-beddd7ca4590,5063d0ec-b41a-4a29-b50b-b8263fe0e580,12011_P_T1_tsst,bac6c49b-424c-40a1-8390-5901c1c2f9a0,12011_P,1679931393852000000,1679932547087000000,recording.begin,recording.end
424dcbda-34f7-45e3-b9e2-6395d3738439,509d5ab1-6c98-451a-8d87-95039fe56a1d,12051_P_T1_tsst,9911dddf-1993-43a1-9081-9c149eabf9ea,12051_P,1694962064094000000,1694963167289000000,recording.begin,recording.end
f6c26632-3cf1-4058-92f2-126ddbad30e5,51438d25-5130-4cc6-a4d6-ab1f30a1dc08,12016_P_T1_tsst,2e29ea18-59af-4532-a077-b498c82b52cc,12016_P,1683908955729000000,1683910307468000000,recording.begin,recording.end
d4c6b6c7-261a-4e73-90f7-f758bcf313ab,551de9fc-5ba8-4d62-a3d1-39a23a212faa,12073_P_T1_tsst,d4ee2896-9995-41e3-bf33-9e5fb94e1ba6,12073_P,1713644780961000000,1713646044034000000,recording.begin,recording.end
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,12065_P_T1_tsst,5ca3febd-4ddd-4f14-93df-e50436b5bd92,12065_P,1711122834123000000,1711123827631000000,recording.begin,recording.end
5304a68b-bac5-4e92-8577-12b06dcf2f43,666de8c4-c6c3-4f00-8f8b-0b668ebf6850,12052_P_T1_tsst,e6f5c412-c437-41ad-a187-369c5e68bdca,12052_P,1697901312993000000,1697902360113000000,recording.begin,recording.end
a7c140a3-9e1b-47d5-a041-ba3d3d59cf2f,68276e62-94c5-44cb-ae41-89d8fa96bf74,12080_P_T1_tsst,0830d409-6450-4b34-873b-5a35a4b84413,12080_P,1719593043300000000,1719594095984000000,recording.begin,recording.end
b8178399-8b98-48b7-be08-fd091d69c579,707bed8b-e2c3-4490-991c-ad1fecc9c48b,12017_P_T1_tsst,e4787df6-f005-448a-8e13-e275fbce56ba,12017_P,1682954079348000000,1682955279694000000,recording.begin,recording.end
5c97c6d0-3e41-4305-9517-e460fefab507,739a9747-f352-4383-ab8f-5be101c642ed,12070_P_T1_tsst,475f0cc0-fc84-4aad-9aad-433247b3c4aa,12070_P,1711656711872000000,1711657854957000000,recording.begin,recording.end
2913fd66-bdc7-4bb7-8e2c-f155f9166d7f,785c608f-4758-47d2-92da-9e3c99dc0c76,12056_P_T1_tsst,088da3e9-348f-4a98-992a-06f673a8865b,12056_P,1697472535814000000,1697473652821000000,recording.begin,recording.end
bb4a305a-15f8-457d-a795-8db11ff70eee,787756f0-0a17-4abb-9f8e-cf0af8afa6c0,12045_P_T1_tsst,96c151c6-b144-444a-a185-c9d81d24540a,12045_P,1710094341792000000,1710095645415000000,recording.begin,recording.end
2341242b-9cbc-491a-be7b-03d8cc6e3284,7cfcf99e-004d-4e54-b821-38725d24c6ac,12046_P_T1_tsst,8ad288b9-b475-4c1c-96b7-1201ccefe53a,12046_P,1691766856394000000,1691768043566000000,recording.begin,recording.end
2fe956af-6fe6-441d-84c4-fd01b74faf05,7e7dd412-b855-437c-8af4-0cadfdbfa62a,12067_P_T1_tsst,4e3dccf2-0cd0-4316-b0c7-02990d7acca8,12067_P,1714933389366000000,1714934411866000000,recording.begin,recording.end
