section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066607945858,521.533,657.125,0.0,107,,-1.4264992549763658,-9.952960168665175
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066615967858,519.136,651.809,0.0,107,,-1.6079085555623578,-9.552103863667702
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066619957858,518.385,652.405,0.0,107,,-1.6652283050220986,-9.596905812820419
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066623959858,520.388,645.797,0.0,107,,-1.511482195195987,-9.099310322632732
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066628010858,517.437,646.253,0.0,107,,-1.7360007348597715,-9.133298015423303
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066636029858,517.88,646.059,0.0,107,,-1.702266830677679,-9.118685799620781
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066640046858,516.986,646.683,0.0,107,,-1.770382537004866,-9.165635270551142
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066643995858,516.859,647.293,0.0,107,,-1.7801919372942572,-9.211573362376775
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066648042858,515.826,643.711,0.0,107,,-1.8578978772073154,-8.941531989412804
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066655997858,516.08,651.489,0.0,107,,-1.8404241896967515,-9.527513150905634
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066659996858,521.293,653.445,0.0,107,,-1.4440813968250386,-9.675654416300054
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066664012858,524.325,654.615,0.0,107,,-1.2134017724938346,-9.764200035340297
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066667943858,524.41,659.815,0.0,107,,-1.2077723684857915,-10.155924851168919
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066676040858,522.328,659.484,0.0,107,,-1.3663684970035441,-10.130770026916803
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066680063858,525.858,659.608,0.0,107,,-1.097459769823731,-10.140498932532795
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066683962858,529.237,658.22,0.0,107,,-0.8398056342197312,-10.036268353403644
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066687928858,529.218,657.838,0.0,107,,-0.8412439332375939,-10.007550683580558
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066695942858,527.338,658.378,0.0,107,,-0.9845155234228591,-10.04800944223113
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066699958858,533.181,654.665,0.0,107,,-0.5391213888304708,-9.768772898540178
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066703950858,530.286,654.817,0.0,107,,-0.7596174013294028,-9.780026188027616
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066707940858,529.994,652.501,0.0,107,,-0.7816065252657727,-9.60552742761784
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066715970858,527.187,649.678,0.0,107,,-0.9949047690924249,-9.392534836319063
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066719976858,519.077,651.151,0.0,107,,-1.612254138371401,-9.502517150798873
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066723951858,519.253,649.773,0.0,107,,-1.5986097076459858,-9.39877716180264
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066727883858,520.208,650.007,0.0,107,,-1.5259835921074796,-9.416497106718452
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066735959858,518.469,649.762,0.0,107,,-1.6582475370932472,-9.397811237006076
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066739991858,520.596,648.813,0.0,107,,-1.4962042005383476,-9.326621090017104
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066743962858,524.638,651.463,0.0,107,,-1.1890957059200775,-9.526785150501254
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066748000858,525.388,648.984,0.0,107,,-1.131671403240847,-9.34007733355373
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066755964858,525.293,655.054,0.0,107,,-1.1398082965667853,-9.797358630814676
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066759934858,524.136,656.854,0.0,107,,-1.2281751660510958,-9.932863751439799
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066763965858,519.938,657.207,0.0,107,,-1.54801995264018,-9.958888545503608
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066767950858,512.187,661.537,0.0,107,,-2.139613045866617,-10.283633813207553
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066775951858,526.103,653.737,0.0,107,,-1.0779192392680266,-9.69827525026928
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066779981858,525.488,655.327,0.0,107,,-1.1250083637031705,-9.817994424311637
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066783954858,525.34,654.667,0.0,107,,-1.1361780960900856,-9.768197903017956
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066787934858,525.212,651.306,0.0,107,,-1.145386342211086,-9.515030566584581
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066795933858,532.865,654.519,0.0,107,,-0.5631673522852662,-9.757730144290758
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066799956858,532.597,655.347,0.0,107,,-0.5836748084785277,-9.82008693323423
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066803942858,532.349,655.601,0.0,107,,-0.6025673813545606,-9.839223580757585
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066807959858,531.753,654.657,0.0,107,,-0.647847261862429,-9.76804729210058
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066815951858,529.089,653.101,0.0,107,,-0.8505342736220736,-9.650638111652915
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066819976858,534.142,654.208,0.0,107,,-0.4659666829506973,-9.734399875858994
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066823870858,538.283,650.163,0.0,107,,-0.15064807942551964,-9.429792966438756
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066827913858,530.544,654.361,0.0,107,,-0.7399091175983771,-9.745700068548
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066836016858,533.348,656.571,0.0,107,,-0.5265117624081425,-9.912352280267458
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066839995858,530.653,656.985,0.0,107,,-0.7318209466002602,-9.943375235423797
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066843972858,529.189,660.979,0.0,107,,-0.8437704501384538,-10.244104646557282
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066847955858,526.581,658.021,0.0,107,,-1.0421058784387096,-10.021069408847204
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066855887858,520.477,673.683,0.0,107,,-1.5105123428254466,-11.19984972170996
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066859950858,520.844,670.394,0.0,107,,-1.4817204317852506,-10.952210828726248
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066863964858,518.151,664.328,0.0,107,,-1.685783779969398,-10.494985736898313
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066867921858,515.733,663.839,0.0,107,,-1.8699640744303188,-10.45768594293601
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066875948858,516.176,663.771,0.0,107,,-1.8362006533885107,-10.45265471697081
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066880174858,528.461,664.496,0.0,107,,-0.8996678324639948,-10.508983122704814
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066884006858,537.542,663.345,0.0,107,,-0.20713285514683946,-10.422905228097168
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066887971858,536.889,657.978,0.0,107,,-0.2568161142936543,-10.018529853600787
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066895944858,528.892,663.042,0.0,107,,-0.8666337892315318,-10.39953467271055
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066899980858,529.462,657.843,0.0,107,,-0.8225953659261048,-10.007944745052695
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066903965858,529.893,658.744,0.0,107,,-0.7899095663523884,-10.075831626352562
