fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
38,1650047757650841765,1650047758182980765,532,488.987475945946,500.8984832432432,-3.787245172972972,3.688475648648648
39,1650047758414877765,1650047758658861765,243,740.07071,781.87898625,15.69387709375,-17.340539625
40,1650047758718851765,1650047759074897765,356,676.0967979166667,897.660855,11.166563208333335,-26.16941195833333
41,1650047759338875765,1650047760038856765,699,431.40146063829786,482.89813021276603,-8.158641872340427,5.0310212468085105
42,1650047760162883765,1650047760534852765,371,542.1532057692307,513.3906526923076,0.2384327006153846,2.746223488461539
43,1650047760562862765,1650047761098839765,535,615.4387788888888,546.6585919444444,5.779434280555555,0.23028778318055554
44,1650047761186908765,1650047761522862765,335,663.1359456521741,801.6402791304347,9.757695647826088,-18.951438391304347
45,1650047761538912765,1650047761666866765,127,614.7118555555555,813.4109688888889,5.966444633333333,-19.899900444444445
46,1650047761726892765,1650047761926896765,200,634.6899278571428,744.6400035714287,7.396272349999999,-14.69508382142857
47,1650047762106850765,1650047762322864765,216,620.1480773333334,509.8745666666667,6.142059566666666,3.0069364399999996
48,1650047762522907765,1650047763478847765,955,556.7412248437499,532.2877178125001,1.3418176998437499,1.31704043815625
49,1650047763506839765,1650047763986861765,480,621.7453724242424,546.9069436363636,6.25627716969697,0.21145705190909092
50,1650047764062850765,1650047765566880765,1504,636.5374654368933,775.1170032038835,7.604739871844662,-16.987951373786405
51,1650047765702893765,1650047766054850765,351,501.5192629166666,430.79259625000003,-2.8576641833333336,8.990827
52,1650047766154854765,1650047766698839765,543,340.9273,502.62255210526325,-14.994563710526315,3.522960015789474
53,1650047766878877765,1650047768074852765,1195,592.0935612195121,536.8978195121953,4.016390167146342,0.965634270195122
54,1650047768330870765,1650047768422876765,92,695.74205,848.81396,12.509397333333332,-22.447980166666664
55,1650047768466867765,1650047768646906765,180,690.2761399999999,883.0487891666666,12.246432416666666,-25.035943
56,1650047768790858765,1650047769306868765,516,327.6856548571429,648.1545414285714,-16.0644448,-7.349723174285714
57,1650047769634866765,1650047770662845765,1027,767.9113645070422,716.5428008450704,17.63540761971831,-12.414218952112677
58,1650047770690865765,1650047771354911765,664,688.7412834782609,640.2229776086956,11.373997869565214,-6.797492845652173
59,1650047771378859765,1650047773758844765,2379,706.2975826086955,586.8230471428571,12.65968658074534,-2.782639178201863
60,1650047774122857765,1650047774210861765,88,366.9629233333333,460.9737,-13.070395,6.653191283333334
