"#file:///C:/Users/talia/Box/P-CAT Research/blinks/11008_P/PI left v1 ps1.mp4 -- offset: 0, duration: 00:14:01.776 / 841.776 / 841776, ms per sample: 5.0194",,,,,,,,,,,
Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,eye_blinks,not_visible,timestamps
06:27.5,387.455,387455,06:27.7,387.653,387653,00:00.2,0.198,198,1,,
06:27.7,387.731,387731,06:28.0,388.018,388018,00:00.3,0.287,287,1,,
06:30.3,390.347,390347,06:30.6,390.569,390569,00:00.2,0.222,222,1,,
06:36.1,396.078,396078,06:36.3,396.257,396257,00:00.2,0.179,179,1,,
06:37.8,397.76,397760,06:37.9,397.892,397892,00:00.1,0.132,132,1,,
06:38.0,397.96,397960,06:38.0,397.97,397970,00:00.0,0.01,10,,,pspeech.end
08:05.7,485.72,485720,08:05.7,485.74,485740,00:00.0,0.02,20,,,cprep.start
08:19.4,499.389,499389,08:19.5,499.515,499515,00:00.1,0.126,126,1,,
08:26.5,506.485,506485,08:26.8,506.754,506754,00:00.3,0.269,269,1,,
08:29.9,509.85,509850,08:29.9,509.94,509940,00:00.1,0.09,90,1,,
08:34.0,514.024,514024,08:34.2,514.186,514186,00:00.2,0.162,162,1,,
08:34.5,514.533,514533,08:34.6,514.647,514647,00:00.1,0.114,114,1,,
08:36.4,516.353,516353,08:36.6,516.587,516587,00:00.2,0.234,234,1,,
08:36.7,516.677,516677,08:36.8,516.802,516802,00:00.1,0.125,125,1,,
08:43.1,523.132,523132,08:43.3,523.263,523263,00:00.1,0.131,131,1,,
08:47.2,527.246,527246,08:47.3,527.335,527335,00:00.1,0.089,89,1,,
08:47.7,527.725,527725,08:47.8,527.832,527832,00:00.1,0.107,107,1,,
09:11.4,551.419,551419,09:11.5,551.533,551533,00:00.1,0.114,114,1,,
09:11.8,551.796,551796,09:11.9,551.916,551916,00:00.1,0.12,120,1,,
09:12.3,552.323,552323,09:12.4,552.401,552401,00:00.1,0.078,78,1,,
09:19.0,559.042,559042,09:19.1,559.144,559144,00:00.1,0.102,102,1,,
09:21.0,561.024,561024,09:21.1,561.138,561138,00:00.1,0.114,114,1,,
09:30.4,570.407,570407,09:30.6,570.611,570611,00:00.2,0.204,204,1,,
09:32.6,572.575,572575,09:32.7,572.725,572725,00:00.2,0.15,150,1,,
09:46.2,586.24,586240,09:46.5,586.509,586509,00:00.3,0.269,269,1,,
09:47.1,587.126,587126,09:47.2,587.24,587240,00:00.1,0.114,114,1,,
09:48.2,588.24,588240,09:48.4,588.353,588353,00:00.1,0.113,113,1,,
09:58.0,598.042,598042,09:58.3,598.269,598269,00:00.2,0.227,227,1,,
10:02.3,602.31,602310,10:02.3,602.33,602330,00:00.0,0.02,20,,,cprep.end
10:06.6,606.553,606553,10:06.6,606.56,606560,00:00.0,0.007,7,,,cspeech.start
10:07.5,607.545,607545,10:07.7,607.671,607671,00:00.1,0.126,126,1,,
10:08.2,608.192,608192,10:08.3,608.329,608329,00:00.1,0.137,137,1,,
10:22.9,622.91,622910,10:23.0,623.024,623024,00:00.1,0.114,114,1,,
10:39.9,639.898,639898,10:40.0,640.018,640018,00:00.1,0.12,120,1,,
10:41.7,641.683,641683,10:41.8,641.838,641838,00:00.2,0.155,155,1,,
10:53.7,653.665,653665,10:53.8,653.844,653844,00:00.2,0.179,179,1,,
11:13.3,673.305,673305,11:13.4,673.449,673449,00:00.1,0.144,144,1,,
11:24.3,684.347,684347,11:24.5,684.527,684527,00:00.2,0.18,180,1,,
11:25.9,685.892,685892,11:26.0,686.024,686024,00:00.1,0.132,132,1,,
11:29.8,689.832,689832,11:30.0,689.994,689994,00:00.2,0.162,162,1,,
11:30.5,690.539,690539,11:30.7,690.683,690683,00:00.1,0.144,144,1,,
11:40.7,700.749,700749,11:40.9,700.868,700868,00:00.1,0.119,119,1,,
11:42.4,702.365,702365,11:42.5,702.497,702497,00:00.1,0.132,132,1,,
11:44.4,704.449,704449,11:44.6,704.605,704605,00:00.2,0.156,156,1,,
11:47.5,707.509,707509,11:47.7,707.665,707665,00:00.2,0.156,156,1,,
11:53.6,713.611,713611,11:53.8,713.772,713772,00:00.2,0.161,161,1,,
11:55.0,715.006,715006,11:55.2,715.162,715162,00:00.2,0.156,156,1,,
11:58.6,718.623,718623,11:58.7,718.737,718737,00:00.1,0.114,114,1,,
11:59.6,719.587,719587,11:59.8,719.766,719766,00:00.2,0.179,179,1,,
12:03.1,723.076,723076,12:03.1,723.09,723090,00:00.0,0.014,14,,,cspeech.end
