section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms],start timestamp [s],end timestamp [s]
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,22,1.68151E+18,1.68151E+18,364,42.28731981,42.65132006
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,23,1.68151E+18,1.68151E+18,360,46.82733005,47.18737997
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,24,1.68151E+18,1.68151E+18,444,47.75534003,48.19935002
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,25,1.68151E+18,1.68151E+18,344,49.63935002,49.98328986
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,26,1.68151E+18,1.68151E+18,376,50.73536,51.11133005
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,27,1.68151E+18,1.68151E+18,328,56.93933005,57.26734003
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,28,1.68151E+18,1.68151E+18,576,57.29137997,57.86732006
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,29,1.68151E+18,1.68151E+18,316,59.17935002,59.49529984
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,30,1.68151E+18,1.68151E+18,432,59.95930982,60.39131981
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,31,1.68151E+18,1.68151E+18,340,64.71936,65.05933005
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,32,1.68151E+18,1.68151E+18,340,65.48336,65.82329984
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,33,1.68151E+18,1.68151E+18,460,67.82329984,68.28328986
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,34,1.68151E+18,1.68151E+18,348,70.97531981,71.32332006
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,35,1.68151E+18,1.68151E+18,428,71.99935002,72.42733005
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,36,1.68151E+18,1.68151E+18,440,75.22334003,75.66334003
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,37,1.68151E+18,1.68151E+18,336,77.64754995,77.98331981
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,38,1.68151E+18,1.68151E+18,240,78.75533005,78.99536
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,39,1.68151E+18,1.68151E+18,428,83.89130982,84.31931981
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,40,1.68151E+18,1.68151E+18,176,84.62735002,84.80336
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,41,1.68151E+18,1.68151E+18,408,84.91129984,85.31934003
