Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,End Time - hh:mm:ss.ms,End Time - ss.msec,Duration - hh:mm:ss.ms,Duration - ss.msec,eye_blinks,not_visible,timestamps,,,,,,
14:00.5,840.49,14:00.6,840.63,00:00.1,0.14, [a119],,,,,,,,
14:04.2,844.23,14:04.4,844.44,00:00.2,0.21, [a120],,,,,,,,
14:06.5,846.47,14:06.8,846.77,00:00.3,0.3, [a121],,,,,,,,
14:09.5,849.52,14:09.6,849.61,00:00.1,0.09, [a122],,,,,,,,
14:17.3,857.3,14:17.5,857.5,00:00.2,0.2, [a123],,,,,,,,
14:21.3,861.26,14:21.5,861.54,00:00.3,0.28, [a124],,,,,,,,
14:25.1,865.09,14:25.3,865.26,00:00.2,0.17, [a125],,,,,,,,
14:37.1,877.08,14:37.2,877.15,00:00.1,0.07, [a126],,,,,,,,
14:42.8,882.75,14:42.9,882.91,00:00.2,0.16, [a127],,,,,,,,
14:46.1,886.06,14:46.2,886.18,00:00.1,0.12, [a128],,,,,,,,
14:47.9,887.88,14:48.5,888.48,00:00.6,0.6, [a129],,,,,,,,
14:51.9,891.87,14:52.0,891.99,00:00.1,0.12, [a130],,,,,,,,
14:52.6,892.61,14:53.4,893.42,00:00.8,0.81, [a131],,,,,,,,
14:55.9,895.85,14:55.9,895.88,00:00.0,0.03, [a132],,,,,,,,
15:03.1,903.12,15:03.3,903.3,00:00.2,0.18, [a133],,,,,,,,
15:04.5,904.52,15:04.8,904.82,00:00.3,0.3, [a134],,,,,,,,
15:08.9,908.95,15:09.3,909.35,00:00.4,0.4, [a135],,,,,,,,
15:11.8,911.82,15:12.6,912.56,00:00.7,0.74, [a136],,,,,,,,
15:14.4,914.41,15:14.5,914.51,00:00.1,0.1, [a137],,,,,,,,
15:22.0,921.96,15:22.1,922.15,00:00.2,0.19, [a138],,,,,,,,
15:23.4,923.39,15:23.5,923.54,00:00.2,0.15, [a139],,,,,,,,
15:25.7,925.66,15:26.8,926.78,00:01.1,1.12, [a140],,,,no,,,,
15:27.3,927.25,15:27.3,927.3,00:00.1,0.05, [a141],,,,,,,,
15:29.1,929.08,15:29.2,929.19,00:00.1,0.11, [a142],,,,,,,,
15:31.1,931.07,15:32.7,932.73,00:01.7,1.66, [a143],,,,no,,,,
15:36.2,936.18,15:37.0,936.98,00:00.8,0.8, [a144],,,,,,,,
15:40.2,940.25,15:40.4,940.42,00:00.2,0.17, [a145],,,,,,,,
15:42.0,942.01,15:42.1,942.09,00:00.1,0.08, [a146],,,,,,,,
15:44.2,944.22,15:44.3,944.3,00:00.1,0.08, [a147],,,,,,,,
15:46.4,946.37,15:46.5,946.46,00:00.1,0.09,,,child speech end [a1],,,,,,
