blink_id,start_timestamp_s,end_timestamp_s,duration_ms.x,blink_type.x
216,515.474267136,515.854280192,380,pspeech
217,520.110374144,520.46633216,355,pspeech
218,527.854288896,528.066292224,212,pspeech
219,528.246393856,528.526290432,279,pspeech
220,531.286296064,531.542265088,255,pspeech
221,535.934311936,536.318302208,383,pspeech
222,539.414247168,539.654267392,240,pspeech
223,540.582288128,540.882269184,299,pspeech
224,541.098381312,541.30633216,207,pspeech
225,541.478296064,541.69838208,220,pspeech
226,542.758252288,543.202288128,444,pspeech
227,543.678340096,544.046262272,367,pspeech
228,546.218294272,546.470262272,251,pspeech
229,547.622265856,547.782388224,160,pspeech
230,548.862275328,549.374261248,511,pspeech
231,550.206357248,550.862253056,655,pspeech
232,550.862253056,551.166273024,304,pspeech
233,554.770352128,555.15024,379,pspeech
234,559.322252288,559.706302208,384,pspeech
235,579.938251264,580.198246144,259,pspeech
236,580.394361856,580.730374144,336,pspeech
237,583.830258176,584.214269184,384,pspeech
238,587.24630016,587.638317056,392,pspeech
239,594.102270208,594.342334976,240,pspeech
266,677.002406144,677.49446912,492,cprep
267,680.754248192,681.154242304,399,cprep
268,682.098388224,682.538267136,439,cprep
269,683.29422208,683.750310144,456,cprep
270,686.910258176,687.21824,307,cprep
271,692.150267392,692.330306304,180,cprep
272,693.822379264,694.234270208,411,cprep
273,694.882229248,695.074343936,192,cprep
274,696.326267392,696.73031296,404,cprep
275,697.086288128,697.514252288,427,cprep
276,699.106260224,699.366292224,260,cprep
277,702.170262016,702.354354176,184,cprep
278,703.058369024,703.326247936,267,cprep
279,704.046299136,704.398246144,351,cprep
280,705.002294272,705.358331392,356,cprep
281,707.370293248,707.790366208,420,cprep
282,709.422269184,709.798244352,375,cprep
283,710.714417152,711.230257152,515,cprep
284,713.95024512,714.298305024,348,cprep
285,714.58630016,715.026267136,439,cprep
286,717.702285312,718.154439168,452,cprep
287,721.162238208,721.398255104,236,cprep
288,722.51423616,722.930267136,416,cprep
289,729.62228608,729.878238208,255,cprep
290,729.878238208,730.31834112,440,cprep
291,734.246293248,734.450266112,203,cprep
292,737.526297088,737.878322176,352,cprep
293,739.478256128,739.88231296,404,cprep
294,743.166270208,743.534352128,368,cprep
295,745.146422272,745.426267136,279,cprep
296,749.346279168,749.734338304,388,cprep
297,751.018256896,751.386363392,368,cprep
298,752.514253312,752.638265856,124,cprep
299,753.350249984,753.654292224,304,cprep
300,758.350276096,758.678253056,327,cprep
301,763.510242304,763.918257152,408,cprep
302,780.966249984,781.23026304,264,cprep
303,790.1303232,790.462262272,331,cprep
304,797.1262912,797.518384128,392,cprep
306,800.638247936,800.982262272,344,cspeech
307,808.106249984,808.586272,480,cspeech
308,810.066233856,810.446262272,380,cspeech
309,817.390265088,817.806273024,416,cspeech
310,818.27024,818.686242304,416,cspeech
311,822.36634112,822.53022208,163,cspeech
312,827.230310144,827.566304,335,cspeech
313,829.754265088,830.1823872,428,cspeech
314,831.722589184,832.170270208,447,cspeech
315,834.29424512,834.57824,283,cspeech
316,834.57824,834.982432,404,cspeech
317,837.970320896,838.318256128,347,cspeech
318,841.394313984,841.794235392,399,cspeech
319,850.362253312,850.766450176,404,cspeech
320,858.16623616,858.67824,512,cspeech
321,862.126281984,862.354226176,227,cspeech
322,865.974401024,866.418261248,443,cspeech
323,868.030264064,868.234276352,204,cspeech
324,877.982429184,878.282329088,299,cspeech
325,878.434255104,878.754296064,320,cspeech
326,883.606279168,884.062412288,456,cspeech
327,886.958349312,887.330293248,371,cspeech
328,888.430321152,888.61028608,179,cspeech
329,888.678238208,888.942255104,264,cspeech
330,888.942255104,889.13424512,191,cspeech
331,889.13424512,889.28231296,148,cspeech
332,889.37825408,889.698324224,320,cspeech
333,890.150416128,890.262228224,111,cspeech
334,890.326238208,890.578281984,252,cspeech
335,890.590340096,890.838278144,247,cspeech
336,891.370343168,891.674352128,304,cspeech
337,892.766342144,893.186315264,419,cspeech
338,893.502272,893.890273024,388,cspeech
339,893.934238208,894.190260224,256,cspeech
340,894.190260224,894.670887936,480,cspeech
341,896.674256896,897.134283264,460,cspeech
342,903.998258176,904.394260224,396,cspeech
343,905.45024896,905.878348288,428,cspeech
344,905.91030016,906.28626816,375,cspeech
345,906.966269184,907.362310144,396,cspeech
346,915.302352128,915.662316288,359,cspeech
347,919.882399232,920.066357248,183,cspeech
348,922.866248192,923.242305024,376,cspeech
349,924.670223104,925.1182592,448,cspeech
350,925.1182592,925.28624896,167,cspeech
351,925.550273024,925.95421696,403,cspeech
352,926.486285312,926.71024896,223,cspeech
353,927.218258432,927.35437696,136,cspeech
354,928.118276096,928.470262272,351,cspeech
355,929.582475264,929.882272,299,cspeech
356,929.974262272,930.350267392,376,cspeech
357,933.562320128,933.946258432,383,cspeech
358,934.934349312,935.266271232,331,cspeech
359,937.034249984,937.330404352,296,cspeech
360,937.350369024,937.646238208,295,cspeech
361,937.646238208,938.106328064,460,cspeech
362,941.122281984,941.490530304,368,cspeech
363,942.878493184,943.278252288,399,cspeech
364,945.094328064,945.502347264,408,cspeech
