Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,End Time - hh:mm:ss.ms,End Time - ss.msec,Duration - hh:mm:ss.ms,Duration - ss.msec,eye_blinks,not_visible,timestamps,,,,,,,
08:15.8,495.75,08:16.3,496.34,00:00.6,0.59, [a87],,,,,,,,,
08:22.2,502.18,08:22.3,502.27,00:00.1,0.09, [a88],,,,,,,,,
08:23.0,502.95,08:23.1,503.11,00:00.2,0.16, [a89],,,,,,,,,
08:26.5,506.51,08:26.9,506.87,00:00.4,0.36, [a90],,,,,,,,,
08:26.9,506.94,08:27.1,507.12,00:00.2,0.18, [a91],,,,,,,,,
08:28.1,508.05,08:28.1,508.13,00:00.1,0.08, [a92],,,,,,,,,
08:28.5,508.49,08:28.7,508.65,00:00.2,0.16, [a93],,,,,,,,,
08:28.9,508.87,08:29.1,509.08,00:00.2,0.21, [a94],,,,,,,,,
08:29.6,509.61,08:29.8,509.78,00:00.2,0.17, [a95],,,,,,,,,
08:30.7,510.7,08:30.9,510.9,00:00.2,0.2, [a96],,,,,,,,,
08:40.7,520.66,08:40.8,520.83,00:00.2,0.17, [a97],,,,,,,,,
08:41.2,521.16,08:41.3,521.27,00:00.1,0.11, [a98],,,,,,,,,
08:41.8,521.84,08:42.0,521.99,00:00.2,0.15, [a99],,,,,,,,,
08:42.7,522.66,08:42.8,522.82,00:00.2,0.16, [a100],,,,,,,,,
08:48.3,528.31,08:48.4,528.44,00:00.1,0.13, [a101],,,,,,,,,
08:50.5,530.51,08:50.6,530.61,00:00.1,0.1, [a102],,,,,,,,,
08:59.8,539.82,09:00.0,539.97,00:00.2,0.15, [a103],,,,,,,,,
09:00.3,540.25,09:00.4,540.37,00:00.1,0.12, [a104],,,,,,,,,
09:00.6,540.64,09:00.8,540.78,00:00.1,0.14, [a105],,,,,,,,,
09:01.1,541.12,09:01.2,541.22,00:00.1,0.1, [a106],,,,,,,,,
09:02.7,542.66,09:02.9,542.91,00:00.3,0.25, [a107],,,,,,,,,
09:04.4,544.36,09:04.5,544.51,00:00.2,0.15, [a108],,,,,,,,,
09:04.8,544.76,09:04.9,544.91,00:00.2,0.15, [a109],,,,,,,,,
09:05.0,544.96,09:05.2,545.21,00:00.3,0.25, [a110],,,,,,,,,
09:05.9,545.87,09:06.0,545.98,00:00.1,0.11, [a111],,,,,,,,,
09:06.7,546.66,09:06.8,546.81,00:00.2,0.15, [a112],,,,,,,,,
09:07.1,547.13,09:07.3,547.26,00:00.1,0.13, [a113],,,,,,,,,
09:07.8,547.78,09:07.9,547.9,00:00.1,0.12, [a114],,,,,,,,,
09:08.3,548.34,09:08.5,548.46,00:00.1,0.12, [a115],,,,,,,,,
09:08.8,548.75,09:08.9,548.85,00:00.1,0.1, [a116],,,,,,,,,
09:09.3,549.29,09:09.4,549.4,00:00.1,0.11, [a117],,,,,,,,,
09:10.9,550.87,09:11.0,551.01,00:00.1,0.14, [a118],,,,,,,,,
09:11.3,551.26,09:11.4,551.4,00:00.1,0.14, [a119],,,,,,,,,
09:13.4,553.36,09:13.7,553.68,00:00.3,0.32, [a120],,,,,,,,,
09:13.7,553.73,09:13.9,553.94,00:00.2,0.21, [a121],,,,,,,,,
09:14.1,554.11,09:14.3,554.26,00:00.2,0.15, [a122],,,,,,,,,
09:14.5,554.5,09:14.7,554.65,00:00.2,0.15, [a123],,,,,,,,,
09:14.9,554.85,09:15.0,554.95,00:00.1,0.1, [a124],,,,,,,,,
